_id,ID,Count,Temp,Hum,timestamp
666711c1a1b633cd7742154a,185,344,30.41,55.48,2024-06-10T17:46:25.000Z
666711caa1b633cd7742154b,246,344,31.9,55.2,2024-06-10T17:46:34.000Z
666711d5a1b633cd7742154c,185,345,30.38,55.7,2024-06-10T17:46:45.000Z
666711dea1b633cd7742154d,246,345,31.8,55.29,2024-06-10T17:46:54.000Z
666711e9a1b633cd7742154e,185,346,30.41,55.6,2024-06-10T17:47:05.000Z
666711fda1b633cd7742154f,185,347,30.41,55,2024-06-10T17:47:25.000Z
66671206a1b633cd77421550,246,347,31.8,55.17,2024-06-10T17:47:34.000Z
66671211a1b633cd77421551,185,348,30.41,55.7,2024-06-10T17:47:45.000Z
6667121aa1b633cd77421552,246,348,31.8,55.29,2024-06-10T17:47:54.000Z
66671225a1b633cd77421553,185,349,30.44,55.73,2024-06-10T17:48:05.000Z
66671239a1b633cd77421554,185,350,30.41,55.88,2024-06-10T17:48:25.000Z
66671242a1b633cd77421555,246,350,31.9,55.45,2024-06-10T17:48:34.000Z
66671259a1b633cd77421556,185,449,31.19,51.41,2024-06-10T17:48:57.000Z
66671a0ea1b633cd77421557,185,450,30.55,51.57,2024-06-10T18:21:45.000Z
66671a12a1b633cd77421558,246,450,31.22,51.31,2024-06-10T18:21:54.000Z
66671a1da1b633cd77421559,185,451,30.56,51.34,2024-06-10T18:22:05.000Z
66671a26a1b633cd7742155a,246,451,31.25,50.96,2024-06-10T18:22:14.000Z
66671a31a1b633cd7742155b,185,452,30.58,51.12,2024-06-10T18:22:25.000Z
66671a3aa1b633cd7742155c,246,452,31.25,50.7,2024-06-10T18:22:34.000Z
66671a45a1b633cd7742155d,185,453,30.56,50.96,2024-06-10T18:22:45.000Z
66671a4ea1b633cd7742155e,246,453,31.26,50.83,2024-06-10T18:22:54.000Z
66671a59a1b633cd7742155f,185,454,30.56,51.28,2024-06-10T18:23:05.000Z
66671a62a1b633cd77421560,246,454,31.27,50.99,2024-06-10T18:23:14.000Z
66671a76a1b633cd77421561,246,455,31.3,50.86,2024-06-10T18:23:34.000Z
